"Rank","Host/device","Operation Type","Operation Name","#Occurrences","Total time (us)","Avg. time (us)","Total self-time (us)","Avg. self-time (us)","Total self-time on Device (%)","Cumulative total-self time on Device (%)","Total self-time on Host (%)","Cumulative total-self time on Host (%)","Normalized FLOP Rate (FLOPs/s)","Model FLOP Rate (GFLOP/s)","Measured Memory BW (GBytes/Sec)","Operational Intensity (FLOPs/Byte)","GPU TensorCore utilization","Bound by","Execution mode"
"50.0","Device","convert_element_type","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/convert_element_type","6032.0","5725.155","0.9491304708222811","5725.155","0.9491304708222811","0.0007438256145152564","0.9878956338308921","0.0","0.0","0.00948236335959463","0.00948236335959463","0.012756089749718105","0.6923076923076923","0.0","HBM","Function"
"51.0","Device","gather","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/vmap(jit(lu_solve))/jit(_lu_solve)/gather","587.0","5493.949","9.35936797274276","5493.949","9.35936797274276","0.0007137867867403553","0.9886094206176325","0.0","0.0","1351.0108841563692","1351.0108841563692","26.970375709013396","46.65218417945691","0.0","HBM","Function"
"52.0","Device","cond","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond","6096.0","4982.213","0.8172921587926508","4982.213","0.8172921587926508","0.0006473008410027151","0.9892567214586352","0.0","0.0","3400.6480670336655","3400.6480670336655","54237.674981497425","0.0583929955373523","0.0","HBM","Function"
"53.0","Device","add","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/add","6096.0","4977.05","0.8164452099737534","4977.05","0.8164452099737534","0.000646630051889103","0.9899033515105243","0.0","0.0","0.0036744657980128793","0.0036744657980128793","0.01825126905248999","0.1875","0.0","HBM","Function"
"54.0","Device","convert_element_type","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/outer-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/cond/branch_1_fun/inner-loop/while/body/checkpoint/cond/branch_1_fun/while/body/checkpoint/cond/branch_1_fun/while/body/convert_element_type","6096.0","4968.444","0.8150334645669292","4968.444","0.8150334645669292","0.0006455119401107287","0.9905488634506351","0.0","0.0","0.011042491371544089","0.011042491371544089","0.014854842158455934","0.6923076923076923","0.0","HBM","Function"
"55.0","Device","Unknown","copy.197","6096.0","4873.998","0.7995403543307086","4873.998","0.7995403543307086","0.000633241293466488","0.9911821047441016","0.0","0.0","0.0","0.0","0.14909727683547727","0.0","0.0","HBM","Function"
"56.0","Device","Unknown","call.595","5120.0","4872.902","0.951738671875","4872.902","0.951738671875","0.0006330988985665231","0.9918152036426682","0.0","0.0","9.082325070358484","9.082325070358484","0.3043286243006157","27.794212218649516","0.0","HBM","Function"
"57.0","Device","Unknown","copy.192","6096.0","4852.521","0.7960172244094488","4852.521","0.7960172244094488","0.0006304509510700036","0.9924456545937381","0.0","0.0","0.0","0.0","0.14975717345717052","0.0","0.0","HBM","Function"
"58.0","Device","Unknown","copy.191","6096.0","4839.03","0.7938041338582676","4839.03","0.7938041338582676","0.0006286981685924244","0.9930743527623306","0.0","0.0","0.0","0.0","0.018771836222899074","0.0","0.0","HBM","Function"
"59.0","Device","Unknown","copy.164","4851.0","3873.203","0.7984339311482168","3873.203","0.7984339311482168","0.0005032156512124711","0.993577568413543","0.0","0.0","0.0","0.0","0.1493038871473661","0.0","0.0","HBM","Function"
