"Rank","Kernel Name","Registers per thread","Shared Mem bytes","Block dim","Grid dim","Theoretical Occupancy %","Op is TensorCore eligible","Kernel uses TensorCore","Op Name","Occurrences","Total Duration (μs)","Avg Duration (μs)","Min Duration (μs)","Max Duration (μs)"
"379.0","loop_exponential_multiply_subtract_fusion","34.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","2.271","2.271","2.271","2.271"
"380.0","loop_multiply_slice_subtract_fusion","28.0","0.0","128,1,1","64,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/slice:","1.0","2.143","2.143","2.143","2.143"
"381.0","loop_multiply_pad_fusion","32.0","0.0","128,1,1","8,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/scatter:","1.0","2.079","2.079","2.079","2.079"
"382.0","input_reduce_fusion_55","40.0","5.0","160,1,1","1,1,1","93.75","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/jit(branched_error_if_impl)/convert_element_type:","1.0","2.047","2.047","2.047","2.047"
"383.0","loop_clamp_fusion_3","22.0","0.0","128,1,1","32,1,1","100.0","False","False","","1.0","2.015","2.015","2.015","2.015"
"384.0","loop_pad_fusion_12","35.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","2.015","2.015","2.015","2.015"
"385.0","input_reduce_fusion_64","34.0","0.0","32,1,1","1,1,1","50.0","False","False","","1.0","1.983","1.983","1.983","1.983"
"386.0","loop_broadcast_compare_exponential_fusion","24.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","1.983","1.983","1.983","1.983"
"387.0","loop_clamp_fusion_4","22.0","0.0","128,1,1","16,1,1","100.0","False","False","","1.0","1.983","1.983","1.983","1.983"
"388.0","void bubble_sort_onewarp_ascend_kernel<double>(int, double*, int*)","26.0","384.0","32,1,1","1,1,1","50.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","1.0","1.983","1.983","1.983","1.983"
"389.0","input_concatenate_fusion_32","16.0","0.0","128,1,1","8,1,1","100.0","False","False","","2.0","1.92","0.96","0.96","0.96"
"390.0","loop_broadcast_multiply_fusion","26.0","0.0","8,1,1","1,1,1","12.5","False","False","","1.0","1.919","1.919","1.919","1.919"
"391.0","loop_clamp_subtract_fusion","22.0","0.0","128,1,1","8,1,1","100.0","False","False","","1.0","1.919","1.919","1.919","1.919"
"392.0","input_reduce_fusion_52","39.0","48.0","64,1,1","1,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/reduce_sum:","1.0","1.887","1.887","1.887","1.887"
"393.0","input_reduce_fusion_25","40.0","64.0","256,1,1","2,1,1","100.0","False","False","","1.0","1.791","1.791","1.791","1.791"
"394.0","loop_dynamic_update_slice_fusion_225","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","1.728","1.728","1.728","1.728"
"395.0","loop_dynamic_update_slice_fusion_247","33.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","1.727","1.727","1.727","1.727"
"396.0","loop_divide_fusion_44","25.0","0.0","128,1,1","64,1,1","100.0","False","False","","1.0","1.663","1.663","1.663","1.663"
"397.0","loop_dynamic_update_slice_fusion_237","25.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","1.567","1.567","1.567","1.567"
"398.0","loop_dynamic_update_slice_fusion_248","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","1.567","1.567","1.567","1.567"
"399.0","input_reduce_fusion_60","16.0","0.0","8,1,1","1,1,1","12.5","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/jit(branched_error_if_impl)/reduce_max:","1.0","1.536","1.536","1.536","1.536"
"400.0","input_reduce_fusion_54","40.0","5.0","160,1,1","1,1,1","93.75","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_perturbations_batched)/vmap(jit(diffeqsolve))/jit(branched_error_if_impl)/convert_element_type:","1.0","1.535","1.535","1.535","1.535"
"401.0","wrapped_log","20.0","0.0","128,1,1","9,1,1","100.0","False","False","","1.0","1.535","1.535","1.535","1.535"
"402.0","input_slice_fusion_2","20.0","0.0","7,1,1","1,1,1","10.9375","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/div:","1.0","1.504","1.504","1.504","1.504"
"403.0","memcpy32_post","16.0","0.0","256,1,1","4,1,1","100.0","False","False","","2.0","1.504","0.752","0.736","0.768"
"404.0","loop_divide_slice_fusion","80.0","0.0","1,1,1","1,1,1","1.5625","False","False","","1.0","1.471","1.471","1.471","1.471"
"405.0","wrapped_slice_14","16.0","0.0","1,1,1","1,1,1","1.5625","False","False","","2.0","1.47","0.735","0.735","0.735"
"406.0","loop_dynamic_update_slice_fusion_230","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","1.376","1.376","1.376","1.376"
"407.0","loop_dynamic_update_slice_fusion_238","25.0","0.0","128,1,1","1,1,1","100.0","False","False","","1.0","1.376","1.376","1.376","1.376"
"408.0","loop_dynamic_update_slice_fusion_252","25.0","0.0","128,1,1","3,1,1","100.0","False","False","","1.0","1.376","1.376","1.376","1.376"
"409.0","loop_compare_fusion_83","18.0","0.0","128,1,1","200,1,1","100.0","False","False","","1.0","1.375","1.375","1.375","1.375"
"410.0","loop_pad_fusion_10","25.0","0.0","128,1,1","315,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(compute_theta_ell)/scatter:","1.0","1.375","1.375","1.375","1.375"
"411.0","input_concatenate_fusion_23","16.0","0.0","128,1,1","64,1,1","100.0","False","False","","1.0","1.343","1.343","1.343","1.343"
"412.0","input_slice_fusion_1","27.0","0.0","128,1,1","13,1,1","100.0","False","False","","1.0","1.312","1.312","1.312","1.312"
"413.0","loop_add_fusion_70","16.0","0.0","128,1,1","320,1,1","100.0","False","False","","1.0","1.312","1.312","1.312","1.312"
"414.0","loop_clamp_fusion_11","20.0","0.0","16,1,1","1,1,1","25.0","False","False","","1.0","1.312","1.312","1.312","1.312"
"415.0","loop_broadcast_clamp_fusion","20.0","0.0","8,1,1","1,1,1","12.5","False","False","","1.0","1.311","1.311","1.311","1.311"
"416.0","loop_clamp_fusion_12","20.0","0.0","4,1,1","1,1,1","6.25","False","False","","1.0","1.311","1.311","1.311","1.311"
"417.0","loop_clamp_fusion_13","20.0","0.0","2,1,1","1,1,1","3.125","False","False","","1.0","1.311","1.311","1.311","1.311"
"418.0","void batch_symmetrize_kernel<double, 5, 3>(int, double*, unsigned long, long long, int, int)","38.0","8448.0","32,8,1","1,1,1","100.0","False","False","jit(compute_Cell_spectrum_from_cosmo_params)/jit(main)/jit(evolve_background)/vmap(jit(eigh))/eigh:","1.0","1.28","1.28","1.28","1.28"
"419.0","loop_clamp_fusion_10","20.0","0.0","32,1,1","1,1,1","50.0","False","False","","1.0","1.279","1.279","1.279","1.279"
